Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
63,CQ0DBO,438.400000,-,7.600000,Tone,67,67,023,NN,FM,12.50,,IN61gq,,,,
64,CQ0DGO,438.400000,-,7.600000,Tone,123,123,023,NN,FM,12.50,,IN51rd,,,,
65,CQ0USA,438.6500,-,7.6000,Tone,67.0,67.0,023,NN,FM,6.25,,Chã Grande - Serra de Arga,,,,
66,CQ0UCAN,438.6500,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Candeeiros - Serra dos Candeeiros,,,,
67,CQ0UMST,438.6500,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,"C.C.D. da Marinha, Monsanto – Lisboa",,,,
68,CQ0UMT,438.6500,-,7.6000,Tone,114.8,114.8,023,NN,FM,6.25,,São Pedro de Solis - Mértola,,,,
69,CQ2UMAD,438.6500,-,7.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Pinheira - Funchal,,,,
70,CQ1UPA,438.6500,-,7.6000,Tone,88.5,88.5,023,NN,FM,6.25,,Pico Alto - Ilha de Santa Maria,,,,
71,CQ0UAT,438.6750,-,7.6000,Tone,67.0,67.0,023,NN,FM,6.25,,Mairos – Chaves,,,,
72,CQ0UM,438.6750,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Estação de Radar N. 3 - Montejunto,,,,
73,CQ0UFO,438.6750,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Fóia - Serra de Monchique,,,,
74,CQ1UDX,438.6750,-,7.6000,Tone,67.0,67.0,023,NN,FM,6.25,,Serra de Santa Bárbara - Ilha Terceira,,,,
75,CQ0URTD,438.7000,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Carvalho de Rei - Amarante,,,,
76,CQ0UCA,438.7000,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Cruz Alta - Serra do Buçaco,,,,
77,CQ0USM,438.7000,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Cerro de São Miguel - Olhão,,,,
78,CQ2UFX,438.7000,-,7.6000,Tone,67.0,67.0,023,NN,FM,6.25,,Pico Alto - Parque Ecológico do Funchal,,,,
79,CQ1USB,438.700000,-,7.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM68ir,,,,
80,CQ0UCD,438.7250,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Vale Grande - Serra dos Candeeiros,,,,
81,CQ0UCSC,438.7250,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Bombeiros Voluntários de Alcabideche - Cascais,,,,
82,CQ1UCM,438.7250,-,7.6000,Tone,88.5,88.5,023,NN,FM,6.25,,Serra do Cume - Ilha Terceira,,,,
83,CQ0USF,438.725000,-,7.600000,Tone,123,123,023,NN,FM,12.50,,IN50uu,,,,
84,CQ0USMA,438.7500,-,7.6000,Tone,67.0,67.0,023,NN,FM,6.25,,São Mamede - Serra de São Mamede,,,,
85,CQ0UVAR,438.7500,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Varatojo - Torres Vedras,,,,
86,CQ1UMB,438.750000,-,7.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM68jp,,,,
87,CQ1UPB,438.750000,-,7.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM77js,,,,
88,CQ0UARC,438.7750,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Universidade de Coimbra - Coimbra,,,,
89,CQ1UMS,438.775000,-,7.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM68it,,,,
90,CQ1USC,438.775000,-,7.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM77ct,,,,
91,CQ0UBRG,438.8000,-,7.6000,Tone,67.0,67.0,023,NN,FM,6.25,,Santa Marta - Braga,,,,
92,CQ0UAE,438.8000,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,"Gestoso, Serra do Arestal - Aveiro",,,,
93,CQ0UAB,438.8000,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Posto de Vigia de Alburitel - Ourém,,,,
94,CQ0UDA,438.8000,-,7.6000,Tone,114.8,114.8,023,NN,FM,6.25,,São Pedro de Solis - Mértola,,,,
95,CQ1UF,438.8000,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Cabeço Gordo - Ilha do Faial,,,,
96,CQ0UAM,438.800000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM58js,,,,
