Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
158,CQ0USM,438.700000,-,7.600000,Tone,,131.8,023,NN,FM,,,IM67cc,,,
159,CQ0USMA,438.750000,-,7.600000,Tone,,67,023,NN,FM,,,IM69hh,,,
160,CQ0USO,438.950000,-,7.600000,Tone,,67,023,NN,FM,,,IM68er,,,
161,CQ0USR,439.075000,-,7.600000,Tone,,74.4,023,NN,FM,,,IM59pf,,,
162,CQ0USTC,438.925000,-,7.600000,Tone,,82.5,023,NN,FM,,,IM57px,,,
163,CQ0UTR,439.175000,-,7.600000,Tone,,131.8,023,NN,FM,,,IM59uo,,,
164,CQ0UTRZ,439.175000,-,7.600000,Tone,,123,023,NN,FM,,,IN50tt,,,
165,CQ0UTV,439.300000,-,7.600000,Tone,,131.8,023,NN,FM,,,IN50vc,,,
166,CQ0UVAR,438.750000,-,7.600000,Tone,,74.4,023,NN,FM,,,IM59ic,,,
167,CQ0VAL,145.737500,-,0.600000,Tone,,67,023,NN,FM,,,IN51vt,,,
168,CQ0VAM,145.775000,-,0.600000,Tone,,74.4,023,NN,FM,,,IM58js,,,
169,CQ0VAN,145.712500,-,0.600000,Tone,,123,023,NN,FM,,,IN61nr,,,
170,CQ0VAR,145.725000,-,0.600000,Tone,,114.8,023,NN,FM,,,IN50ts,,,
171,CQ0VARB,145.737500,-,0.600000,Tone,,74.4,023,NN,FM,,,IM58ml,,,
172,CQ0VBA,145.762500,-,0.600000,Tone,,131.8,023,NN,FM,,,IN51te,,,
173,CQ0VBRG,145.700000,-,0.600000,Tone,,123,023,NN,FM,,,IN51tm,,,
174,CQ0VCD,145.612500,-,0.600000,Tone,,74.4,023,NN,FM,,,IM59nn,,,
175,CQ0VCE,145.750000,-,0.600000,Tone,,114.8,023,NN,FM,,,IN60hp,,,
176,CQ0VCO,145.687500,-,0.600000,Tone,,123,023,NN,FM,,,IN60bt,,,
177,CQ0VCP,145.662500,-,0.600000,Tone,,82.5,023,NN,FM,,,IN50ne,,,
178,CQ0VCSC,145.600000,-,0.600000,Tone,,74.4,023,NN,FM,,,IM58gq,,,
179,CQ0VDLX,145.775000,-,0.600000,Tone,,74.4,023,NN,FM,,,IM58js,,,
180,CQ0VEC,145.662500,-,0.600000,Tone,,74.4,023,NN,FM,,,IM58jt,,,
181,CQ0VENT,145.687500,-,0.600000,Tone,,74.4,023,NN,FM,,,IM59sl,,,
182,CQ0VFD,145.762500,-,0.600000,Tone,,82.5,023,NN,FM,,,IM57qh,,,
183,CQ0VFO,145.650000,-,0.600000,Tone,,82.5,023,NN,FM,,,IM57qh,,,
184,CQ0VG,145.637500,-,0.600000,Tone,,114.8,023,NN,FM,,,IN60fb,,,
185,CQ0VLO,145.700000,-,0.600000,Tone,,82.5,023,NN,FM,,,IN50vc,,,
186,CQ0VMA,145.650000,-,0.600000,Tone,,123,023,NN,FM,,,IN61bf,,,
187,CQ0VMC,145.675000,-,0.600000,Tone,,74.4,023,NN,FM,,,IM58jv,,,
188,CQ0VMI,145.775000,-,0.600000,Tone,,123,023,NN,FM,,,IN61dn,,,
189,CQ0VMO,145.750000,-,0.600000,Tone,,74.4,023,NN,FM,,,IM59le,,,
190,CQ0VMST,145.625000,-,0.600000,Tone,,74.4,023,NN,FM,,,IM58jr,,,
191,CQ0VMU,145.737500,-,0.600000,Tone,,67,023,NN,FM,,,IN51vt,,,
192,CQ0VPD,145.675000,-,0.600000,Tone,,123,023,NN,FM,,,IN61fn,,,
193,CQ0VSA,145.625000,-,0.600000,Tone,,123,023,NN,FM,,,IN51pt,,,
194,CQ0VSE,145.600000,-,0.600000,Tone,,114.8,023,NN,FM,,,IN60eh,,,
195,CQ0VSF,145.612500,-,0.600000,Tone,,123,023,NN,FM,,,IN50uu,,,
196,CQ0VSI,145.712500,-,0.600000,Tone,,74.4,023,NN,FM,,,IM58hs,,,
197,CQ0VSM,145.725000,-,0.600000,Tone,,82.5,023,NN,FM,,,IM67cc,,,
198,CQ0VSMA,145.662500,-,0.600000,Tone,,123,023,NN,FM,,,IM69hh,,,
199,CQ0VSP,145.750000,-,0.600000,Tone,,82.5,023,NN,FM,,,IM67ew,,,
200,CQ0VSTC,145.700000,-,0.600000,Tone,,74.4,023,NN,FM,,,IM57px,,,
201,CQ0VTA,145.575000,-,0.600000,Tone,,82.5,023,NN,FM,,,IM67df,,,
202,CQ0VTM,145.775000,-,0.600000,Tone,,82.5,023,NN,FM,,,IN50tg,,,
203,CQ0VVAR,145.637500,-,0.600000,Tone,,74.4,023,NN,FM,,,IM59ic,,,
204,CQ1DAH,145.575000,-,0.600000,,,,023,NN,FM,,,HM68ir,,,
205,CQ1DAT,145.587500,-,0.600000,,,,023,NN,FM,,,HM68jp,,,
206,CQ1DBE,438.200000,-,7.600000,,,,023,NN,FM,,,HM58pm,,,
207,CQ1DCG,438.300000,-,7.600000,,,,023,NN,FM,,,HM58pn,,,
208,CQ1DUR,438.337500,-,7.600000,,,,023,NN,FM,,,HM68jp,,,
209,CQ1EAT,433.925000,,0.000000,,,,023,NN,FM,,,HM68jp,,,
210,CQ1UB,438.825000,-,7.600000,Tone,,88.5,023,NN,FM,,,HM77gs,,,
211,CQ1UCM,438.725000,-,7.600000,Tone,,88.5,023,NN,FM,,,HM68kr,,,
212,CQ1UDX,438.675000,-,7.600000,Tone,,67,023,NN,FM,,,HM68ir,,,
213,CQ1UF,438.800000,-,7.600000,Tone,,123,023,NN,FM,,,HM58pn,,,
214,CQ1UMB,438.750000,-,7.600000,Tone,,88.5,023,NN,FM,,,HM68jp,,,
215,CQ1UMS,438.775000,-,7.600000,Tone,,88.5,023,NN,FM,,,HM68it,,,
216,CQ1UPA,438.650000,-,7.600000,Tone,,88.5,023,NN,FM,,,HM76kx,,,
217,CQ1UPB,438.750000,-,7.600000,Tone,,88.5,023,NN,FM,,,HM77js,,,
218,CQ1UPDL,438.900000,-,7.600000,Tone,,88.5,023,NN,FM,,,HM77er,,,
219,CQ1USB,438.700000,-,7.600000,Tone,,88.5,023,NN,FM,,,HM68ir,,,
220,CQ1USC,438.775000,-,7.600000,Tone,,88.5,023,NN,FM,,,HM77ct,,,
221,CQ1VB,145.625000,-,0.600000,Tone,,88.5,023,NN,FM,,,HM77gs,,,
222,CQ1VCM,145.725000,-,0.600000,Tone,,88.5,023,NN,FM,,,HM68kr,,,
223,CQ1VDX,145.737500,-,0.600000,Tone,,114.8,023,NN,FM,,,HM68ir,,,
224,CQ1VF,145.600000,-,0.600000,Tone,,123,023,NN,FM,,,HM58pn,,,
225,CQ1VFLW,145.787500,-,0.600000,Tone,,88.5,023,NN,FM,,,HM49jk,,,
226,CQ1VGR,145.612500,-,0.600000,Tone,,88.5,023,NN,FM,,,HM59xa,,,
227,CQ1VMA,145.787500,-,0.600000,Tone,,88.5,023,NN,FM,,,HM49jl,,,
228,CQ1VP,145.650000,-,0.600000,Tone,,88.5,023,NN,FM,,,HM58vj,,,
229,CQ1VPA,145.600000,-,0.600000,Tone,,88.5,023,NN,FM,,,HM76kx,,,
230,CQ1VPB,145.750000,-,0.600000,Tone,,88.5,023,NN,FM,,,HM77js,,,
231,CQ1VPM,145.675000,-,0.600000,Tone,,88.5,023,NN,FM,,,HM58vr,,,
232,CQ1VPV,145.775000,-,0.600000,Tone,,123,023,NN,FM,,,HM58oo,,,
233,CQ1VSB,145.700000,-,0.600000,Tone,,88.5,023,NN,FM,,,HM68ir,,,
234,CQ1VSC,145.775000,-,0.600000,Tone,,88.5,023,NN,FM,,,HM77ct,,,
235,CQ1VSJ,145.637500,-,0.600000,Tone,,67,023,NN,FM,,,HM68bn,,,
236,CQ1VSS,145.662500,-,0.600000,Tone,,82.5,023,NN,FM,,,HM68lr,,,
237,CQ2UFX,438.700000,-,7.600000,Tone,,67,023,NN,FM,,,IM12nq,,,
238,CQ2UMAD,438.650000,-,7.600000,Tone,,82.5,023,NN,FM,,,IM12np,,,
239,CQ2VMF,145.775000,-,0.600000,Tone,,88.5,023,NN,FM,,,IM13ta,,,
240,CS4GDA,144.850000,,0.000000,,,,023,NN,FM,,,HM68jp,,,
241,CS5GCK,431.862500,,0.000000,,,,023,NN,FM,,,IM59ka,,,
242,CS5GEL,430.100000,,0.000000,Tone,,67,023,NN,FM,,,IM68ju,,,
243,CS5GIH,144.837500,,0.000000,,,,023,NN,FM,,,IM67bc,,,
244,CS5GUH,144.862500,,0.000000,,,,023,NN,FM,,,IN60em,,,
245,CS5GUM,144.850000,,0.000000,,,,023,NN,FM,,,IM68ju,,,
246,CS5GVS,144.825000,,0.000000,,,,023,NN,FM,,,IN60bp,,,
247,CS5GVW,144.837500,,0.000000,,,,023,NN,FM,,,IN50se,,,
248,CS5IBJA,430.250000,,0.000000,Tone,,114.8,023,NN,FM,,,IM68ba,,,
249,CS5IMT,430.175000,,0.000000,Tone,,74.4,023,NN,FM,,,IM58lr,,,
250,CS5IPG,431.862500,,0.000000,,,,023,NN,FM,,,IM69gh,,,
251,CS5JBJA,144.825000,,0.000000,,,,023,NN,FM,,,IM68ba,,,
252,CS5JEL,144.850000,,0.000000,,,,023,NN,FM,,,IM68ju,,,
